algorithm,array_size,array_type,comparisons,movements,time_ms
Bucket Sort,100000,1,199998,599980,2.098000
Counting Sort,100000,1,100000,300000,1.763000
Radix Sort wBS,100000,1,650160999,652560880,1847.588000
Radix Sort wCS,100000,1,99999,1300000,10.363000
Quick Sort D,100000,1,2271469,6681011,5.354000
Quick Sort P,100000,1,2206254,6485734,5.203000
Merge Sort,100000,1,853904,3337856,9.179000
Heap Sort,100000,1,3401708,4952565,15.756000
Shell Sort,100000,2,844560,3844572,7.406000
Bucket Sort,100000,2,500149998,500549980,1412.117000
Counting Sort,100000,2,100000,300000,1.675000
Radix Sort wBS,100000,2,1150110999,1152510880,3247.697000
Radix Sort wCS,100000,2,99999,1300000,10.319000
Quick Sort D,100000,2,2296706,6756698,5.711000
Quick Sort P,100000,2,2220068,6526824,5.587000
Merge Sort,100000,2,815024,3337856,8.699000
Heap Sort,100000,2,3094868,4492305,15.213000
Shell Sort,100000,3,2820303,5820315,21.961000
Bucket Sort,100000,3,250225501,250625483,712.490000
Counting Sort,100000,3,100000,300000,8.546000
Radix Sort wBS,100000,3,1122631411,1125031292,3173.811000
Radix Sort wCS,100000,3,99999,1300000,10.863000
Quick Sort D,100000,3,2053743,6027175,11.013000
Quick Sort P,100000,3,2182759,6414095,10.979000
Merge Sort,100000,3,1536468,3337856,14.905000
Heap Sort,100000,3,3250492,4725741,19.522000
