algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Bolha,10000,0,1,9999,0,0.000007
Coquetel,10000,0,1,9999,0,0.000006
Selecao,10000,0,1,49995000,0,0.023521
Insercao,10000,0,1,9999,19998,0.000006
Shellsort,10000,0,1,94222,188444,0.000066
Mergesort,10000,0,1,64608,198224,0.000093
Heapsort,10000,0,1,244460,395868,0.000363
Quicksort,10000,0,1,149101,267546,0.000277
QuicksortI,10000,0,1,120747,35353,0.000077
Introsort,10000,0,1,120747,35353,0.000065
Contagem,10000,0,1,9999,29999,0.000018
Balde,10000,0,1,19999,49999,0.000264
RadixsortC,10000,0,1,9999,89999,0.000327
RadixsortB,10000,0,1,9999,89999,0.000527
Bolha,10000,0,2,9999,0,0.000007
Coquetel,10000,0,2,9999,0,0.000006
Selecao,10000,0,2,49995000,0,0.023521
Insercao,10000,0,2,9999,19998,0.000006
Shellsort,10000,0,2,94222,188444,0.000066
Mergesort,10000,0,2,64608,198224,0.000099
Heapsort,10000,0,2,244460,395868,0.000359
Quicksort,10000,0,2,149101,267546,0.000277
QuicksortI,10000,0,2,120747,35353,0.000075
Introsort,10000,0,2,120747,35353,0.000064
Contagem,10000,0,2,9999,29999,0.000017
Balde,10000,0,2,19999,49999,0.000280
RadixsortC,10000,0,2,9999,89999,0.000330
RadixsortB,10000,0,2,9999,89999,0.000532
Bolha,10000,0,3,9999,0,0.000007
Coquetel,10000,0,3,9999,0,0.000006
Selecao,10000,0,3,49995000,0,0.023918
Insercao,10000,0,3,9999,19998,0.000012
Shellsort,10000,0,3,94222,188444,0.000066
Mergesort,10000,0,3,64608,198224,0.000093
Heapsort,10000,0,3,244460,395868,0.000370
Quicksort,10000,0,3,148243,265194,0.000291
QuicksortI,10000,0,3,120747,35353,0.000074
Introsort,10000,0,3,120747,35353,0.000066
Contagem,10000,0,3,9999,29999,0.000018
Balde,10000,0,3,19999,49999,0.000255
RadixsortC,10000,0,3,9999,89999,0.000327
RadixsortB,10000,0,3,9999,89999,0.000538
Bolha,10000,1,1,49995000,149985000,0.237680
Coquetel,10000,1,1,49995000,149985000,0.235009
Selecao,10000,1,1,49995000,15000,0.021556
Insercao,10000,1,1,49995000,50014998,0.017048
Shellsort,10000,1,1,134551,234260,0.000112
Mergesort,10000,1,1,69008,267232,0.000139
Heapsort,10000,1,1,226682,350088,0.000423
Quicksort,10000,1,1,149156,273834,0.000312
QuicksortI,10000,1,1,125741,40350,0.000079
Introsort,10000,1,1,125741,40350,0.000068
Contagem,10000,1,1,9999,20000,0.000018
Balde,10000,1,1,19999,40000,0.000284
RadixsortC,10000,1,1,9999,100000,0.000393
RadixsortB,10000,1,1,9999,100000,0.000671
Bolha,10000,1,2,49995000,149985000,0.237647
Coquetel,10000,1,2,49995000,149985000,0.235120
Selecao,10000,1,2,49995000,15000,0.022290
Insercao,10000,1,2,49995000,50014998,0.017045
Shellsort,10000,1,2,134551,234260,0.000111
Mergesort,10000,1,2,69008,267232,0.000133
Heapsort,10000,1,2,226682,350088,0.000430
Quicksort,10000,1,2,162637,287319,0.000311
QuicksortI,10000,1,2,125741,40350,0.000077
Introsort,10000,1,2,125741,40350,0.000071
Contagem,10000,1,2,9999,20000,0.000018
Balde,10000,1,2,19999,40000,0.000278
RadixsortC,10000,1,2,9999,100000,0.000397
