algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Radixsort C.,10000,3,3,0,180000,0.000495
Radixsort B.,10000,3,3,0,180000,0.001929
Bolha,20000,1,1,19999,0,0.000006
Coquetel,20000,1,1,19999,0,0.000006
Selecao,20000,1,1,199990000,0,0.101689
Insercao,20000,1,1,19999,39998,0.000011
Shellsort,20000,1,1,204285,408570,0.000182
Mergesort,20000,1,1,139216,426448,0.000210
Heapsort,20000,1,1,525758,848634,0.000837
Quicksort,20000,1,1,244093,50233,0.000148
Introsort,20000,1,1,244093,50233,0.000135
Contagem,20000,1,1,19999,59999,0.000050
Balde,20000,1,1,39999,99999,0.000714
Radixsort C.,20000,1,1,0,360000,0.000997
Radixsort B.,20000,1,1,0,360000,0.003465
Bolha,20000,1,2,19999,0,0.000006
Coquetel,20000,1,2,19999,0,0.000006
Selecao,20000,1,2,199990000,0,0.102323
Insercao,20000,1,2,19999,39998,0.000012
Shellsort,20000,1,2,204285,408570,0.000182
Mergesort,20000,1,2,139216,426448,0.000292
Heapsort,20000,1,2,525758,848634,0.000884
Quicksort,20000,1,2,244093,50233,0.000148
Introsort,20000,1,2,244093,50233,0.000136
Contagem,20000,1,2,19999,59999,0.000049
Balde,20000,1,2,39999,99999,0.000759
Radixsort C.,20000,1,2,0,360000,0.001030
Radixsort B.,20000,1,2,0,360000,0.003623
Bolha,20000,1,3,19999,0,0.000006
Coquetel,20000,1,3,19999,0,0.000006
Selecao,20000,1,3,199990000,0,0.101318
Insercao,20000,1,3,19999,39998,0.000011
Shellsort,20000,1,3,204285,408570,0.000185
Mergesort,20000,1,3,139216,426448,0.000211
Heapsort,20000,1,3,525758,848634,0.000838
Quicksort,20000,1,3,244093,50233,0.000148
Introsort,20000,1,3,244093,50233,0.000138
Contagem,20000,1,3,19999,59999,0.000049
Balde,20000,1,3,39999,99999,0.000714
Radixsort C.,20000,1,3,0,360000,0.000996
Radixsort B.,20000,1,3,0,360000,0.003497
Bolha,20000,2,1,199990000,599970000,0.222433
Coquetel,20000,2,1,199990000,599970000,0.267136
Selecao,20000,2,1,199990000,30000,0.097091
Insercao,20000,2,1,199990000,200029998,0.067217
Shellsort,20000,2,1,282063,499854,0.000276
Mergesort,20000,2,1,148016,574464,0.000311
Heapsort,20000,2,1,468670,763002,0.000861
Quicksort,20000,2,1,364560,86352,0.000214
Introsort,20000,2,1,487767,92105,0.000242
Contagem,20000,2,1,19999,40000,0.000049
Balde,20000,2,1,39999,80000,0.000845
Radixsort C.,20000,2,1,0,360000,0.000966
Radixsort B.,20000,2,1,0,360000,0.003448
Bolha,20000,2,2,199990000,599970000,0.221461
Coquetel,20000,2,2,199990000,599970000,0.274283
Selecao,20000,2,2,199990000,30000,0.094377
