algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo_ms
Radixsort C.,1000,3,3,0,18000,0.067748
Radixsort B.,1000,3,3,0,18000,0.121876
Bolha,1500,1,1,1124250,0,0.540655
Bolha c/ F.,1500,1,1,1499,0,0.001886
Coquetel,1500,1,1,1499,0,0.001886
Selecao,1500,1,1,1124250,0,0.493930
Insercao,1500,1,1,1499,2998,0.001886
Shellsort,1500,1,1,10771,21542,0.009080
Mergesort,1500,1,1,7664,23616,0.015924
Quicksort,1500,1,1,28512,56460,0.074453
Heapsort,1500,1,1,28098,46644,0.062439
Contagem,1500,1,1,1499,4499,0.004330
Balde,1500,1,1,2999,7499,0.039252
Radixsort C.,1500,1,1,0,27000,0.096942
Radixsort B.,1500,1,1,0,27000,0.178518
Bolha,1500,1,2,1124250,0,0.537023
Bolha c/ F.,1500,1,2,1499,0,0.001886
Coquetel,1500,1,2,1499,0,0.001886
Selecao,1500,1,2,1124250,0,0.494279
Insercao,1500,1,2,1499,2998,0.001885
Shellsort,1500,1,2,10771,21542,0.008940
Mergesort,1500,1,2,7664,23616,0.015715
Quicksort,1500,1,2,28512,56460,0.082135
Heapsort,1500,1,2,28098,46644,0.062370
Contagem,1500,1,2,1499,4499,0.004191
Balde,1500,1,2,2999,7499,0.040998
Radixsort C.,1500,1,2,0,27000,0.096593
Radixsort B.,1500,1,2,0,27000,0.186550
Bolha,1500,1,3,1124250,0,0.540514
Bolha c/ F.,1500,1,3,1499,0,0.001886
Coquetel,1500,1,3,1499,0,0.002374
Selecao,1500,1,3,1124250,0,0.490298
Insercao,1500,1,3,1499,2998,0.001956
Shellsort,1500,1,3,10771,21542,0.009009
Mergesort,1500,1,3,7664,23616,0.016273
Quicksort,1500,1,3,28512,56460,0.082834
Heapsort,1500,1,3,28098,46644,0.062020
Contagem,1500,1,3,1499,4499,0.004330
Balde,1500,1,3,2999,7499,0.039671
Radixsort C.,1500,1,3,0,27000,0.096803
Radixsort B.,1500,1,3,0,27000,0.182640
Bolha,1500,2,1,1124250,3372750,1.844903
Bolha c/ F.,1500,2,1,1124250,3372750,1.826045
Coquetel,1500,2,1,1124250,3372750,1.903920
Selecao,1500,2,1,1124250,2250,0.693611
Insercao,1500,2,1,1124250,1127248,0.549874
Shellsort,1500,2,1,15248,27162,0.015645
Mergesort,1500,2,1,8288,31904,0.020604
Quicksort,1500,2,1,27568,59380,0.074452
Heapsort,1500,2,1,24046,40566,0.060763
Contagem,1500,2,1,1499,3000,0.004330
Balde,1500,2,1,2999,6000,0.033874
Radixsort C.,1500,2,1,0,27000,0.104765
Radixsort B.,1500,2,1,0,27000,0.183128
Bolha,1500,2,2,1124250,3372750,1.873259
Bolha c/ F.,1500,2,2,1124250,3372750,1.906993
Coquetel,1500,2,2,1124250,3372750,1.904758
Selecao,1500,2,2,1124250,2250,0.672379
Insercao,1500,2,2,1124250,1127248,0.553296
Shellsort,1500,2,2,15248,27162,0.015296
Mergesort,1500,2,2,8288,31904,0.019906
Quicksort,1500,2,2,27568,59380,0.074523
Heapsort,1500,2,2,24046,40566,0.060623
Contagem,1500,2,2,1499,3000,0.004331
Balde,1500,2,2,2999,6000,0.033595
Radixsort C.,1500,2,2,0,27000,0.100224
Radixsort B.,1500,2,2,0,27000,0.182918
Bolha,1500,2,3,1124250,3372750,1.879545
Bolha c/ F.,1500,2,3,1124250,3372750,1.865367
Coquetel,1500,2,3,1124250,3372750,1.886250
Selecao,1500,2,3,1124250,2250,0.676849
Insercao,1500,2,3,1124250,1127248,0.537721
Shellsort,1500,2,3,15248,27162,0.016134
Mergesort,1500,2,3,8288,31904,0.020045
Quicksort,1500,2,3,27568,59380,0.074243
Heapsort,1500,2,3,24046,40566,0.060623
Contagem,1500,2,3,1499,3000,0.004330
Balde,1500,2,3,2999,6000,0.041556
Radixsort C.,1500,2,3,0,27000,0.096384
Radixsort B.,1500,2,3,0,27000,0.182710
Bolha,1500,3,1,1124250,1660317,1.537174
Bolha c/ F.,1500,3,1,1123509,1660317,1.434994
Coquetel,1500,3,1,842625,1660317,1.301663
Selecao,1500,3,1,1124250,4476,0.596878
Insercao,1500,3,1,554929,556437,0.284540
Shellsort,1500,3,1,20513,32005,0.068097
Mergesort,1500,3,1,13970,30775,0.065513
Quicksort,1500,3,1,28212,57687,0.108396
Heapsort,1500,3,1,26102,43650,0.082555
Contagem,1500,3,1,1499,3004,0.011873
Balde,1500,3,1,3062,6067,0.059785
Radixsort C.,1500,3,1,0,27000,0.108815
Radixsort B.,1500,3,1,0,27000,0.184246
Bolha,1500,3,2,1124250,1660317,1.536965
Bolha c/ F.,1500,3,2,1123509,1660317,1.427032
Coquetel,1500,3,2,842625,1660317,1.310045
Selecao,1500,3,2,1124250,4476,0.604212
Insercao,1500,3,2,554929,556437,0.285308
Shellsort,1500,3,2,20513,32005,0.068167
Mergesort,1500,3,2,13970,30775,0.064885
Quicksort,1500,3,2,28212,57687,0.102181
Heapsort,1500,3,2,26102,43650,0.083532
