algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo_ms
Contagem,66000,3,3,65999,132012,1.626152
Balde,66000,3,3,134603,266616,3.521129
Radixsort C.,66000,3,3,0,1188000,5.974011
Radixsort B.,66000,3,3,0,1188000,14.865009
Bolha,70000,1,1,2449965000,0,1159.126589
Bolha c/ F.,70000,1,1,69999,0,0.020952
Coquetel,70000,1,1,69999,0,0.038135
Selecao,70000,1,1,2449965000,0,1120.306450
Insercao,70000,1,1,69999,139998,0.034362
Shellsort,70000,1,1,829427,1658854,0.585912
Mergesort,70000,1,1,555200,1684128,0.848941
Quicksort,70000,1,1,2044269,4164404,4.516739
Heapsort,70000,1,1,2088606,3342906,3.987539
Contagem,70000,1,1,69999,209999,0.231460
Balde,70000,1,1,139999,349999,1.928222
Radixsort C.,70000,1,1,0,1260000,6.066761
Radixsort B.,70000,1,1,0,1260000,12.036862
Bolha,70000,1,2,2449965000,0,1159.414411
Bolha c/ F.,70000,1,2,69999,0,0.021163
Coquetel,70000,1,2,69999,0,0.039112
Selecao,70000,1,2,2449965000,0,1101.571517
Insercao,70000,1,2,69999,139998,0.034572
Shellsort,70000,1,2,829427,1658854,0.585772
Mergesort,70000,1,2,555200,1684128,0.847403
Quicksort,70000,1,2,2112790,4230253,4.483214
Heapsort,70000,1,2,2088606,3342906,3.975177
Contagem,70000,1,2,69999,209999,0.229085
Balde,70000,1,2,139999,349999,1.929899
Radixsort C.,70000,1,2,0,1260000,6.150922
Radixsort B.,70000,1,2,0,1260000,12.202180
Bolha,70000,1,3,2449965000,0,1158.777444
Bolha c/ F.,70000,1,3,69999,0,0.021022
Coquetel,70000,1,3,69999,0,0.037227
Selecao,70000,1,3,2449965000,0,1194.957592
Insercao,70000,1,3,69999,139998,0.034293
Shellsort,70000,1,3,829427,1658854,0.585982
Mergesort,70000,1,3,555200,1684128,0.837067
Quicksort,70000,1,3,2312342,4480528,4.533362
Heapsort,70000,1,3,2088606,3342906,4.058779
Contagem,70000,1,3,69999,209999,0.233834
Balde,70000,1,3,139999,349999,1.932413
Radixsort C.,70000,1,3,0,1260000,4.857851
Radixsort B.,70000,1,3,0,1260000,12.260149
Bolha,70000,2,1,2449965000,7349895000,4196.320286
Bolha c/ F.,70000,2,1,2449965000,7349895000,4196.056490
Coquetel,70000,2,1,2449965000,7349895000,4153.718644
Selecao,70000,2,1,2449965000,105000,1136.306336
Insercao,70000,2,1,2449965000,2450104998,1159.456945
Shellsort,70000,2,1,1129214,1995446,0.908865
Mergesort,70000,2,1,573728,2257856,1.025922
Quicksort,70000,2,1,2096312,4193550,4.373421
Heapsort,70000,2,1,1885366,3038046,4.010239
Contagem,70000,2,1,69999,140000,0.230551
Balde,70000,2,1,139999,280000,2.901134
Radixsort C.,70000,2,1,0,1260000,4.881598
Radixsort B.,70000,2,1,0,1260000,12.086030
Bolha,70000,2,2,2449965000,7349895000,4374.805368
Bolha c/ F.,70000,2,2,2449965000,7349895000,4824.761827
Coquetel,70000,2,2,2449965000,7349895000,4153.460994
Selecao,70000,2,2,2449965000,105000,1137.920754
Insercao,70000,2,2,2449965000,2450104998,1158.678896
Shellsort,70000,2,2,1129214,1995446,1.088013
Mergesort,70000,2,2,573728,2257856,1.012791
Quicksort,70000,2,2,2238632,4482572,4.450807
Heapsort,70000,2,2,1885366,3038046,4.015686
Contagem,70000,2,2,69999,140000,0.230412
Balde,70000,2,2,139999,280000,2.732812
Radixsort C.,70000,2,2,0,1260000,4.855477
Radixsort B.,70000,2,2,0,1260000,12.046919
Bolha,70000,2,3,2449965000,7349895000,4195.851780
Bolha c/ F.,70000,2,3,2449965000,7349895000,4188.197210
Coquetel,70000,2,3,2449965000,7349895000,4154.088812
Selecao,70000,2,3,2449965000,105000,1135.348720
Insercao,70000,2,3,2449965000,2450104998,1158.922647
Shellsort,70000,2,3,1129214,1995446,0.977591
Mergesort,70000,2,3,573728,2257856,1.042545
Quicksort,70000,2,3,2431071,4789941,4.439004
Heapsort,70000,2,3,1885366,3038046,4.054169
Contagem,70000,2,3,69999,140000,0.303257
Balde,70000,2,3,139999,280000,2.744196
Radixsort C.,70000,2,3,0,1260000,5.688772
Radixsort B.,70000,2,3,0,1260000,12.132965
Bolha,70000,3,1,2449965000,3682631517,6224.695625
Bolha c/ F.,70000,3,1,2449897839,3682631517,6188.562342
Coquetel,70000,3,1,1845436394,3682631517,4850.241835
Selecao,70000,3,1,2449965000,209964,1125.121767
Insercao,70000,3,1,1227613822,1227683837,580.883919
Shellsort,70000,3,1,1713392,2576661,5.470094
Mergesort,70000,3,1,1038915,2209209,4.302112
Quicksort,70000,3,1,2105355,4268821,6.448733
Heapsort,70000,3,1,1989376,3194061,5.942162
Contagem,70000,3,1,69999,140010,1.721767
Balde,70000,3,1,142790,282801,3.739387
Radixsort C.,70000,3,1,0,1260000,5.595742
Radixsort B.,70000,3,1,0,1260000,16.078668
Bolha,70000,3,2,2449965000,3671704422,6307.993594
Bolha c/ F.,70000,3,2,2449725222,3671704422,6200.045419
Coquetel,70000,3,2,1833450945,3671704422,4809.878728
Selecao,70000,3,2,2449965000,209964,1125.061982
Insercao,70000,3,2,1223971459,1224041472,579.288008
Shellsort,70000,3,2,1708913,2571909,5.463738
Mergesort,70000,3,2,1038694,2208988,4.285629
Quicksort,70000,3,2,2041217,4078845,6.394605
Heapsort,70000,3,2,1989210,3193812,5.946842
Contagem,70000,3,2,69999,140012,1.881079
Balde,70000,3,2,142824,282837,3.788277
Radixsort C.,70000,3,2,0,1260000,5.141413
Radixsort B.,70000,3,2,0,1260000,16.174074
Bolha,70000,3,3,2449965000,3686397399,6385.930145
Bolha c/ F.,70000,3,3,2449944090,3686397399,6171.107628
Coquetel,70000,3,3,1838392149,3686397399,4818.536591
Selecao,70000,3,3,2449965000,209952,1125.196429
Insercao,70000,3,3,1228869119,1228939131,581.417727
Shellsort,70000,3,3,1713174,2576361,5.487485
Mergesort,70000,3,3,1038911,2209186,4.402127
Quicksort,70000,3,3,1995310,4057919,6.487425
Heapsort,70000,3,3,1989644,3194463,5.972963
Contagem,70000,3,3,69999,140023,1.758644
Balde,70000,3,3,142728,282752,3.872927
Radixsort C.,70000,3,3,0,1260000,5.137642
Radixsort B.,70000,3,3,0,1260000,15.884366
Bolha,74000,1,1,2737963000,0,1295.340875
Bolha c/ F.,74000,1,1,73999,0,0.022839
Coquetel,74000,1,1,73999,0,0.041137
Selecao,74000,1,1,2737963000,0,1251.775751
Insercao,74000,1,1,73999,147998,0.036248
Shellsort,74000,1,1,881427,1762854,0.631239
Mergesort,74000,1,1,587344,1788272,0.899507
Quicksort,74000,1,1,2318113,4527878,4.722147
Heapsort,74000,1,1,2223694,3557538,4.221304
Contagem,74000,1,1,73999,221999,0.245567
Balde,74000,1,1,147999,369999,2.047025
Radixsort C.,74000,1,1,0,1332000,5.128423
Radixsort B.,74000,1,1,0,1332000,12.915694
Bolha,74000,1,2,2737963000,0,1295.032239
Bolha c/ F.,74000,1,2,73999,0,0.022490
Coquetel,74000,1,2,73999,0,0.043163
Selecao,74000,1,2,2737963000,0,1251.925285
Insercao,74000,1,2,73999,147998,0.036318
Shellsort,74000,1,2,881427,1762854,0.635500
Mergesort,74000,1,2,587344,1788272,0.897760
Quicksort,74000,1,2,2199825,4396440,4.776694
Heapsort,74000,1,2,2223694,3557538,4.226960
Contagem,74000,1,2,73999,221999,0.247593
Balde,74000,1,2,147999,369999,2.053940
Radixsort C.,74000,1,2,0,1332000,5.130728
Radixsort B.,74000,1,2,0,1332000,12.817635
Bolha,74000,1,3,2737963000,0,1295.957169
Bolha c/ F.,74000,1,3,73999,0,0.022070
Coquetel,74000,1,3,73999,0,0.050426
Selecao,74000,1,3,2737963000,0,1252.003159
Insercao,74000,1,3,73999,147998,0.036318
Shellsort,74000,1,3,881427,1762854,0.635151
Mergesort,74000,1,3,587344,1788272,0.916967
Quicksort,74000,1,3,2289210,4616728,5.026033
Heapsort,74000,1,3,2223694,3557538,4.170458
Contagem,74000,1,3,73999,221999,0.246546
Balde,74000,1,3,147999,369999,2.114004
Radixsort C.,74000,1,3,0,1332000,5.141204
Radixsort B.,74000,1,3,0,1332000,12.645612
Bolha,74000,2,1,2737963000,8213889000,4684.716170
Bolha c/ F.,74000,2,1,2737963000,8213889000,4685.593815
Coquetel,74000,2,1,2737963000,8213889000,4640.537825
Selecao,74000,2,1,2737963000,111000,1550.044792
Insercao,74000,2,1,2737963000,2738110998,1294.969171
Shellsort,74000,2,1,1212193,2137506,1.090806
Mergesort,74000,2,1,613584,2401856,1.136693
Quicksort,74000,2,1,2197789,4404644,4.881389
Heapsort,74000,2,1,2005770,3230652,4.349884
Contagem,74000,2,1,73999,148000,0.302419
Balde,74000,2,1,147999,296000,2.892542
Radixsort C.,74000,2,1,0,1332000,5.144627
Radixsort B.,74000,2,1,0,1332000,12.315883
Bolha,74000,2,2,2737963000,8213889000,4679.178467
Bolha c/ F.,74000,2,2,2737963000,8213889000,4681.192108
Coquetel,74000,2,2,2737963000,8213889000,4641.962341
Selecao,74000,2,2,2737963000,111000,1273.516442
Insercao,74000,2,2,2737963000,2738110998,1295.049700
Shellsort,74000,2,2,1212193,2137506,0.924301
Mergesort,74000,2,2,613584,2401856,1.123703
Quicksort,74000,2,2,2271294,4688366,4.654469
Heapsort,74000,2,2,2005770,3230652,4.363993
Contagem,74000,2,2,73999,148000,0.246615
Balde,74000,2,2,147999,296000,3.014000
Radixsort C.,74000,2,2,0,1332000,5.955921
Radixsort B.,74000,2,2,0,1332000,12.640304
Bolha,74000,2,3,2737963000,8213889000,4677.568519
Bolha c/ F.,74000,2,3,2737963000,8213889000,4680.663676
Coquetel,74000,2,3,2737963000,8213889000,4640.742674
Selecao,74000,2,3,2737963000,111000,1268.424826
Insercao,74000,2,3,2737963000,2738110998,1295.004512
Shellsort,74000,2,3,1212193,2137506,1.047155
Mergesort,74000,2,3,613584,2401856,1.093669
Quicksort,74000,2,3,2256002,4562095,4.737233
Heapsort,74000,2,3,2005770,3230652,4.294708
Contagem,74000,2,3,73999,148000,0.249689
Balde,74000,2,3,147999,296000,3.168562
Radixsort C.,74000,2,3,0,1332000,5.138411
Radixsort B.,74000,2,3,0,1332000,11.998378
Bolha,74000,3,1,2737963000,4118165301,7550.090100
Bolha c/ F.,74000,3,1,2737960299,4118165301,6911.025737
Coquetel,74000,3,1,2056659759,4118165301,5289.324107
Selecao,74000,3,1,2737963000,221958,1256.972900
Insercao,74000,3,1,1372795755,1372869765,649.552808
Shellsort,74000,3,1,1827050,2744692,5.775098
Mergesort,74000,3,1,1104311,2347221,4.546073
Quicksort,74000,3,1,2295531,4540979,6.772105
Heapsort,74000,3,1,2115880,3395817,6.290538
Contagem,74000,3,1,73999,148009,1.973201
Balde,74000,3,1,150969,298979,4.143639
Radixsort C.,74000,3,1,0,1332000,5.458082
Radixsort B.,74000,3,1,0,1332000,16.922581
Bolha,74000,3,2,2737963000,4117346400,7544.921378
Bolha c/ F.,74000,3,2,2737877095,4117346400,6881.789368
Coquetel,74000,3,2,2053518499,4117346400,5379.273842
Selecao,74000,3,2,2737963000,221967,1257.080108
Insercao,74000,3,2,1372522785,1372596798,649.408442
Shellsort,74000,3,2,1822657,2740687,5.788578
Mergesort,74000,3,2,1104662,2347476,4.544746
Quicksort,74000,3,2,2316293,4558245,6.807445
Heapsort,74000,3,2,2116256,3396381,6.321269
Contagem,74000,3,2,73999,148012,1.972153
Balde,74000,3,2,150949,298962,4.130159
Radixsort C.,74000,3,2,0,1332000,7.910125
Radixsort B.,74000,3,2,0,1332000,16.978944
Bolha,74000,3,3,2737963000,4105947624,7122.102928
Bolha c/ F.,74000,3,3,2737876264,4105947624,6850.837309
Coquetel,74000,3,3,2057656059,4105947624,5407.464942
Selecao,74000,3,3,2737963000,221967,1257.384763
Insercao,74000,3,3,1368723199,1368797206,647.781243
Shellsort,74000,3,3,1823241,2740920,5.803384
Mergesort,74000,3,3,1104755,2347631,4.539927
Quicksort,74000,3,3,2267869,4494319,6.854031
Heapsort,74000,3,3,2116084,3396123,6.361429
Contagem,74000,3,3,73999,148013,1.976623
Balde,74000,3,3,151018,299032,4.157747
Radixsort C.,74000,3,3,0,1332000,5.452285
Radixsort B.,74000,3,3,0,1332000,17.062405
Bolha,78000,1,1,3041961000,0,1439.409761
Bolha c/ F.,78000,1,1,77999,0,0.023817
Coquetel,78000,1,1,77999,0,0.052382
Selecao,78000,1,1,3041961000,0,1367.960846
Insercao,78000,1,1,77999,155998,0.038204
Shellsort,78000,1,1,933427,1866854,0.672378
Mergesort,78000,1,1,619648,1892576,0.954333
Quicksort,78000,1,1,2376260,4636854,4.960939
Heapsort,78000,1,1,2358746,3772116,4.618081
Contagem,78000,1,1,77999,233999,0.260444
Balde,78000,1,1,155999,389999,2.206057
Radixsort C.,78000,1,1,0,1404000,5.418969
Radixsort B.,78000,1,1,0,1404000,13.561112
Bolha,78000,1,2,3041961000,0,1438.652944
Bolha c/ F.,78000,1,2,77999,0,0.023257
Coquetel,78000,1,2,77999,0,0.041277
Selecao,78000,1,2,3041961000,0,1367.189501
Insercao,78000,1,2,77999,155998,0.038274
Shellsort,78000,1,2,933427,1866854,0.658618
Mergesort,78000,1,2,619648,1892576,0.945114
Quicksort,78000,1,2,2317848,4631466,4.992020
Heapsort,78000,1,2,2358746,3772116,4.415397
Contagem,78000,1,2,77999,233999,0.260025
Balde,78000,1,2,155999,389999,2.197815
Radixsort C.,78000,1,2,0,1404000,5.434265
Radixsort B.,78000,1,2,0,1404000,12.819311
Bolha,78000,1,3,3041961000,0,1439.301575
Bolha c/ F.,78000,1,3,77999,0,0.023956
Coquetel,78000,1,3,77999,0,0.042395
Selecao,78000,1,3,3041961000,0,1391.349270
Insercao,78000,1,3,77999,155998,0.037646
Shellsort,78000,1,3,933427,1866854,0.676358
Mergesort,78000,1,3,619648,1892576,0.993305
Quicksort,78000,1,3,2528700,5031268,5.268528
Heapsort,78000,1,3,2358746,3772116,4.411207
Contagem,78000,1,3,77999,233999,0.274413
Balde,78000,1,3,155999,389999,2.272408
Radixsort C.,78000,1,3,0,1404000,5.428538
Radixsort B.,78000,1,3,0,1404000,13.123198
Bolha,78000,2,1,3041961000,9125883000,5203.628432
Bolha c/ F.,78000,2,1,3041961000,9125883000,5223.758756
Coquetel,78000,2,1,3041961000,9125883000,5157.673704
Selecao,78000,2,1,3041961000,117000,1459.431200
Insercao,78000,2,1,3041961000,3042116998,1438.688494
Shellsort,78000,2,1,1263319,2249962,1.218828
Mergesort,78000,2,1,653280,2545856,1.174757
Quicksort,78000,2,1,2399182,4893462,4.933422
Heapsort,78000,2,1,2126470,3423702,4.530917
Contagem,78000,2,1,77999,156000,0.260095
Balde,78000,2,1,155999,312000,3.108497
Radixsort C.,78000,2,1,0,1404000,5.429935
Radixsort B.,78000,2,1,0,1404000,12.243317
Bolha,78000,2,2,3041961000,9125883000,5210.226629
Bolha c/ F.,78000,2,2,3041961000,9125883000,5210.942727
Coquetel,78000,2,2,3041961000,9125883000,5192.422352
Selecao,78000,2,2,3041961000,117000,1408.975936
Insercao,78000,2,2,3041961000,3042116998,1438.737105
Shellsort,78000,2,2,1263319,2249962,1.096045
Mergesort,78000,2,2,653280,2545856,1.186561
Quicksort,78000,2,2,2366781,4849381,5.143579
Heapsort,78000,2,2,2126470,3423702,4.601458
Contagem,78000,2,2,77999,156000,0.261142
Balde,78000,2,2,155999,312000,3.040889
Radixsort C.,78000,2,2,0,1404000,6.349067
Radixsort B.,78000,2,2,0,1404000,12.582683
Bolha,78000,2,3,3041961000,9125883000,5209.549153
Bolha c/ F.,78000,2,3,3041961000,9125883000,5207.007221
Coquetel,78000,2,3,3041961000,9125883000,5157.406345
Selecao,78000,2,3,3041961000,117000,1410.656636
Insercao,78000,2,3,3041961000,3042116998,1439.276222
Shellsort,78000,2,3,1263319,2249962,1.031160
Mergesort,78000,2,3,653280,2545856,1.202624
Quicksort,78000,2,3,2427127,4839831,5.034554
Heapsort,78000,2,3,2126470,3423702,4.505495
Contagem,78000,2,3,77999,156000,0.268545
Balde,78000,2,3,155999,312000,3.058070
Radixsort C.,78000,2,3,0,1404000,5.418620
Radixsort B.,78000,2,3,0,1404000,12.368266
Bolha,78000,3,1,3041961000,4561438185,7829.575667
Bolha c/ F.,78000,3,1,3041957430,4561438185,7750.966529
Coquetel,78000,3,1,2279334015,4561438185,5994.487282
Selecao,78000,3,1,3041961000,233976,1397.045655
Insercao,78000,3,1,1520557387,1520635393,719.943115
Shellsort,78000,3,1,1936388,2908822,6.215108
Mergesort,78000,3,1,1170343,2486327,4.943689
Quicksort,78000,3,1,2261944,4593161,7.107770
Heapsort,78000,3,1,2242974,3598458,6.711551
Contagem,78000,3,1,77999,156014,2.085368
Balde,78000,3,1,159241,315256,4.545444
Radixsort C.,78000,3,1,0,1404000,5.744367
Radixsort B.,78000,3,1,0,1404000,17.938934
Bolha,78000,3,2,3041961000,4573584966,8006.988871
Bolha c/ F.,78000,3,2,3041839229,4573584966,7702.823135
Coquetel,78000,3,2,2289609555,4573584966,6025.818308
Selecao,78000,3,2,3041961000,233973,1396.303365
Insercao,78000,3,2,1524606313,1524684320,721.256650
Shellsort,78000,3,2,1929841,2902513,6.131018
Mergesort,78000,3,2,1170605,2486239,4.797577
Quicksort,78000,3,2,2310538,4603069,7.244523
Heapsort,78000,3,2,2243288,3598929,6.673627
Contagem,78000,3,2,77999,156015,2.133770
Balde,78000,3,2,159108,315124,4.424825
Radixsort C.,78000,3,2,0,1404000,5.748768
Radixsort B.,78000,3,2,0,1404000,18.395288
Bolha,78000,3,3,3041961000,4570135020,7869.887021
Bolha c/ F.,78000,3,3,3041953979,4570135020,7688.224367
Coquetel,78000,3,3,2290889097,4570135020,6039.753079
Selecao,78000,3,3,3041961000,233970,1419.007609
Insercao,78000,3,3,1523456334,1523534338,721.061020
Shellsort,78000,3,3,1932542,2905171,6.121309
Mergesort,78000,3,3,1170772,2486443,4.805609
Quicksort,78000,3,3,2357237,4789973,7.224268
Heapsort,78000,3,3,2243390,3599082,6.689342
Contagem,78000,3,3,77999,156017,2.106950
Balde,78000,3,3,159254,315272,4.355332
Radixsort C.,78000,3,3,0,1404000,5.831252
Radixsort B.,78000,3,3,0,1404000,17.998021
Bolha,82000,1,1,3361959000,0,1590.425011
Bolha c/ F.,82000,1,1,81999,0,0.024655
Coquetel,82000,1,1,81999,0,0.045608
Selecao,82000,1,1,3361959000,0,1513.995460
Insercao,82000,1,1,81999,163998,0.040229
Shellsort,82000,1,1,985427,1970854,0.703947
Mergesort,82000,1,1,655760,2000688,1.012652
Quicksort,82000,1,1,2506711,5019298,5.333063
Heapsort,82000,1,1,2493878,3986814,4.665784
Contagem,82000,1,1,81999,245999,0.289779
Balde,82000,1,1,163999,409999,2.298809
Radixsort C.,82000,1,1,0,1476000,5.702252
Radixsort B.,82000,1,1,0,1476000,13.717980
Bolha,82000,1,2,3361959000,0,1590.463704
Bolha c/ F.,82000,1,2,81999,0,0.024515
Coquetel,82000,1,2,81999,0,0.045398
Selecao,82000,1,2,3361959000,0,1511.277036
Insercao,82000,1,2,81999,163998,0.039880
Shellsort,82000,1,2,985427,1970854,0.707858
Mergesort,82000,1,2,655760,2000688,1.010137
Quicksort,82000,1,2,2502728,4977209,5.765600
Heapsort,82000,1,2,2493878,3986814,4.746522
Contagem,82000,1,2,81999,245999,0.284260
Balde,82000,1,2,163999,409999,2.298041
Radixsort C.,82000,1,2,0,1476000,6.359822
Radixsort B.,82000,1,2,0,1476000,13.998608
Bolha,82000,1,3,3361959000,0,1590.694186
Bolha c/ F.,82000,1,3,81999,0,0.024864
Coquetel,82000,1,3,81999,0,0.045677
Selecao,82000,1,3,3361959000,0,1511.965826
Insercao,82000,1,3,81999,163998,0.043792
Shellsort,82000,1,3,985427,1970854,0.708766
Mergesort,82000,1,3,655760,2000688,1.017820
Quicksort,82000,1,3,2663455,5286994,5.658670
Heapsort,82000,1,3,2493878,3986814,4.745963
Contagem,82000,1,3,81999,245999,0.275669
Balde,82000,1,3,163999,409999,2.309913
Radixsort C.,82000,1,3,0,1476000,5.711331
Radixsort B.,82000,1,3,0,1476000,13.980659
Bolha,82000,2,1,3361959000,10085877000,5748.578539
Bolha c/ F.,82000,2,1,3361959000,10085877000,5750.595811
Coquetel,82000,2,1,3361959000,10085877000,5698.887775
Selecao,82000,2,1,3361959000,123000,1558.929504
Insercao,82000,2,1,3361959000,3362122998,1590.107226
Shellsort,82000,2,1,1376851,2431364,1.110851
Mergesort,82000,2,1,689168,2689856,1.388895
Quicksort,82000,2,1,2680346,5503239,5.802337
Heapsort,82000,2,1,2247846,3617766,4.800371
Contagem,82000,2,1,81999,164000,0.297530
Balde,82000,2,1,163999,328000,3.440880
Radixsort C.,82000,2,1,0,1476000,5.706233
Radixsort B.,82000,2,1,0,1476000,13.281950
Bolha,82000,2,2,3361959000,10085877000,5756.749666
Bolha c/ F.,82000,2,2,3361959000,10085877000,5755.565201
Coquetel,82000,2,2,3361959000,10085877000,5968.612172
Selecao,82000,2,2,3361959000,123000,1557.419152
Insercao,82000,2,2,3361959000,3362122998,1590.241603
Shellsort,82000,2,2,1376851,2431364,1.066570
Mergesort,82000,2,2,689168,2689856,1.233146
Quicksort,82000,2,2,2501657,5075893,5.461643
Heapsort,82000,2,2,2247846,3617766,4.778649
Contagem,82000,2,2,81999,164000,0.289080
Balde,82000,2,2,163999,328000,3.223877
Radixsort C.,82000,2,2,0,1476000,5.727675
Radixsort B.,82000,2,2,0,1476000,13.204145
Bolha,82000,2,3,3361959000,10085877000,5722.122684
Bolha c/ F.,82000,2,3,3361959000,10085877000,5741.333317
Coquetel,82000,2,3,3361959000,10085877000,6124.613364
Selecao,82000,2,3,3361959000,123000,1557.466995
Insercao,82000,2,3,3361959000,3362122998,1590.166034
Shellsort,82000,2,3,1376851,2431364,1.048481
Mergesort,82000,2,3,689168,2689856,1.312208
Quicksort,82000,2,3,2658459,5225064,5.275372
Heapsort,82000,2,3,2247846,3617766,4.741912
Contagem,82000,2,3,81999,164000,0.281677
Balde,82000,2,3,163999,328000,3.249300
Radixsort C.,82000,2,3,0,1476000,5.704068
Radixsort B.,82000,2,3,0,1476000,15.668621
Bolha,82000,3,1,3361959000,5042937720,8705.465427
Bolha c/ F.,82000,3,1,3361958847,5042937720,8521.056971
Coquetel,82000,3,1,2517415649,5042937720,6592.065324
Selecao,82000,3,1,3361959000,245970,1542.715551
Insercao,82000,3,1,1681061232,1681143238,795.458842
Shellsort,82000,3,1,2041600,3069206,6.468568
Mergesort,82000,3,1,1236549,2626023,5.058790
Quicksort,82000,3,1,2509942,5021235,7.922417
Heapsort,82000,3,1,2371650,3803472,7.066493
Contagem,82000,3,1,81999,164013,2.443453
Balde,82000,3,1,167200,331214,4.793457
Radixsort C.,82000,3,1,0,1476000,6.058451
Radixsort B.,82000,3,1,0,1476000,19.728937
Bolha,82000,3,2,3361959000,5032625142,8792.501877
Bolha c/ F.,82000,3,2,3361840659,5032625142,8474.669566
Coquetel,82000,3,2,2514495135,5032625142,6602.822315
Selecao,82000,3,2,3361959000,245973,1542.864804
Insercao,82000,3,2,1677623702,1677705712,793.767526
Shellsort,82000,3,2,2044335,3071939,6.570259
Mergesort,82000,3,2,1236625,2626098,5.170957
Quicksort,82000,3,2,2445896,4897944,7.682228
Heapsort,82000,3,2,2371268,3802899,7.063420
Contagem,82000,3,2,81999,164020,2.313476
Balde,82000,3,2,167291,331312,4.722427
Radixsort C.,82000,3,2,0,1476000,6.056146
Radixsort B.,82000,3,2,0,1476000,20.811641
Bolha,82000,3,3,3361959000,5046456963,8644.174950
Bolha c/ F.,82000,3,3,3361921050,5046456963,8561.936845
Coquetel,82000,3,3,2525656247,5046456963,6596.498391
Selecao,82000,3,3,3361959000,245934,1534.369955
Insercao,82000,3,3,1682234307,1682316319,795.875524
Shellsort,82000,3,3,2039442,3067128,6.575288
Mergesort,82000,3,3,1236457,2626312,5.172564
Quicksort,82000,3,3,2462248,4948444,7.846079
Heapsort,82000,3,3,2370828,3802239,7.090309
Contagem,82000,3,3,81999,164008,2.353635
Balde,82000,3,3,167287,331296,4.806727
Radixsort C.,82000,3,3,0,1476000,6.919614
Radixsort B.,82000,3,3,0,1476000,19.389221
Bolha,86000,1,1,3697957000,0,1749.937974
Bolha c/ F.,86000,1,1,85999,0,0.025773
Coquetel,86000,1,1,85999,0,0.044909
Selecao,86000,1,1,3697957000,0,1691.305367
Insercao,86000,1,1,85999,171998,0.042045
Shellsort,86000,1,1,1037427,2074854,0.735445
Mergesort,86000,1,1,687936,2104864,1.057980
Quicksort,86000,1,1,2661418,5370566,5.510464
Heapsort,86000,1,1,2628894,4201338,5.013113
Contagem,86000,1,1,85999,257999,0.295226
Balde,86000,1,1,171999,429999,2.426202
Radixsort C.,86000,1,1,0,1548000,5.992658
Radixsort B.,86000,1,1,0,1548000,15.424171
Bolha,86000,1,2,3697957000,0,1749.435384
Bolha c/ F.,86000,1,2,85999,0,0.025633
Coquetel,86000,1,2,85999,0,0.044770
Selecao,86000,1,2,3697957000,0,1690.633967
Insercao,86000,1,2,85999,171998,0.041417
Shellsort,86000,1,2,1037427,2074854,0.743826
Mergesort,86000,1,2,687936,2104864,1.069364
Quicksort,86000,1,2,2646233,5346233,5.631222
Heapsort,86000,1,2,2628894,4201338,4.975397
Contagem,86000,1,2,85999,257999,0.306819
Balde,86000,1,2,171999,429999,2.408183
Radixsort C.,86000,1,2,0,1548000,6.004252
Radixsort B.,86000,1,2,0,1548000,15.538504
Bolha,86000,1,3,3697957000,0,1749.166908
Bolha c/ F.,86000,1,3,85999,0,0.025772
Coquetel,86000,1,3,85999,0,0.047144
Selecao,86000,1,3,3697957000,0,1663.193119
Insercao,86000,1,3,85999,171998,0.042115
Shellsort,86000,1,3,1037427,2074854,0.745363
Mergesort,86000,1,3,687936,2104864,1.078514
Quicksort,86000,1,3,2775299,5625504,5.534839
Heapsort,86000,1,3,2628894,4201338,5.002846
Contagem,86000,1,3,85999,257999,0.291734
Balde,86000,1,3,171999,429999,2.399033
Radixsort C.,86000,1,3,0,1548000,5.984068
Radixsort B.,86000,1,3,0,1548000,15.533405
Bolha,86000,2,1,3697957000,11093871000,6336.053669
Bolha c/ F.,86000,2,1,3697957000,11093871000,6334.030111
Coquetel,86000,2,1,3697957000,11093871000,6269.546696
Selecao,86000,2,1,3697957000,129000,1713.948847
Insercao,86000,2,1,3697957000,3698128998,1749.127866
Shellsort,86000,2,1,1478745,2589872,1.187748
Mergesort,86000,2,1,728992,2833856,1.333580
Quicksort,86000,2,1,2625088,5178620,5.788369
Heapsort,86000,2,1,2368758,3811134,4.978610
Contagem,86000,2,1,85999,172000,0.294457
Balde,86000,2,1,171999,344000,3.358954
Radixsort C.,86000,2,1,0,1548000,5.987002
Radixsort B.,86000,2,1,0,1548000,15.323387
Bolha,86000,2,2,3697957000,11093871000,6329.840307
Bolha c/ F.,86000,2,2,3697957000,11093871000,6325.589110
Coquetel,86000,2,2,3697957000,11093871000,6274.208498
Selecao,86000,2,2,3697957000,129000,1713.125748
Insercao,86000,2,2,3697957000,3698128998,1749.121091
Shellsort,86000,2,2,1478745,2589872,1.183627
Mergesort,86000,2,2,728992,2833856,1.378349
Quicksort,86000,2,2,2737476,5370398,5.588338
Heapsort,86000,2,2,2368758,3811134,4.982382
Contagem,86000,2,2,85999,172000,0.322185
Balde,86000,2,2,171999,344000,3.383818
Radixsort C.,86000,2,2,0,1548000,6.020735
Radixsort B.,86000,2,2,0,1548000,15.136348
Bolha,86000,2,3,3697957000,11093871000,6330.634491
Bolha c/ F.,86000,2,3,3697957000,11093871000,6316.733033
