algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo_ms
Coquetel,1500,2,1,1124250,3372750,1.887896
Selecao,1500,2,1,1124250,2250,0.674336
Insercao,1500,2,1,1124250,1127248,0.535266
Shellsort,1500,2,1,15248,27162,0.014627
Mergesort,1500,2,1,8288,31904,0.019186
Quicksort,1500,2,1,27185,55333,0.083707
Heapsort,1500,2,1,24046,40566,0.059822
Contagem,1500,2,1,1499,3000,0.003496
Balde,1500,2,1,2999,6000,0.033613
Radixsort C.,1500,2,1,0,27000,0.095880
Radixsort B.,1500,2,1,0,27000,0.178796
Bolha,1500,2,2,1124250,3372750,1.930105
Bolha c/ F.,1500,2,2,1124250,3372750,1.892364
Coquetel,1500,2,2,1124250,3372750,1.880181
Selecao,1500,2,2,1124250,2250,0.538922
Insercao,1500,2,2,1124250,1127248,0.532350
Shellsort,1500,2,2,15248,27162,0.014657
Mergesort,1500,2,2,8288,31904,0.018896
Quicksort,1500,2,2,27185,55333,0.079961
Heapsort,1500,2,2,24046,40566,0.059942
Contagem,1500,2,2,1499,3000,0.003486
Balde,1500,2,2,2999,6000,0.033573
Radixsort C.,1500,2,2,0,27000,0.095880
Radixsort B.,1500,2,2,0,27000,0.177694
Bolha,1500,2,3,1124250,3372750,1.902644
Bolha c/ F.,1500,2,3,1124250,3372750,1.892214
Coquetel,1500,2,3,1124250,3372750,1.879601
Selecao,1500,2,3,1124250,2250,0.664749
Insercao,1500,2,3,1124250,1127248,0.541467
Shellsort,1500,2,3,15248,27162,0.014437
Mergesort,1500,2,3,8288,31904,0.019126
Quicksort,1500,2,3,27185,55333,0.079780
Heapsort,1500,2,3,24046,40566,0.060434
Contagem,1500,2,3,1499,3000,0.003507
Balde,1500,2,3,2999,6000,0.034655
Radixsort C.,1500,2,3,0,27000,0.095850
Radixsort B.,1500,2,3,0,27000,0.185037
Bolha,1500,3,1,1124250,1714926,1.555191
Bolha c/ F.,1500,3,1,1123547,1714926,1.471223
Coquetel,1500,3,1,853034,1714926,1.353993
Selecao,1500,3,1,1124250,4485,0.582023
Insercao,1500,3,1,573139,574640,0.287360
Shellsort,1500,3,1,20996,32502,0.069230
Mergesort,1500,3,1,13957,30714,0.063469
Quicksort,1500,3,1,25806,51561,0.097133
Heapsort,1500,3,1,26008,43509,0.082134
Contagem,1500,3,1,1499,3006,0.011031
Balde,1500,3,1,3057,6064,0.058901
Radixsort C.,1500,3,1,0,27000,0.103635
Radixsort B.,1500,3,1,0,27000,0.178705
Bolha,1500,3,2,1124250,1714926,1.579707
Bolha c/ F.,1500,3,2,1123547,1714926,1.449713
Coquetel,1500,3,2,853034,1714926,1.326281
Selecao,1500,3,2,1124250,4485,0.580460
Insercao,1500,3,2,573139,574640,0.278894
Shellsort,1500,3,2,20996,32502,0.069100
Mergesort,1500,3,2,13957,30714,0.063249
Quicksort,1500,3,2,25806,51561,0.107332
Heapsort,1500,3,2,26008,43509,0.081904
Contagem,1500,3,2,1499,3006,0.011001
Balde,1500,3,2,3057,6064,0.059051
Radixsort C.,1500,3,2,0,27000,0.103104
Radixsort B.,1500,3,2,0,27000,0.180048
Bolha,1500,3,3,1124250,1714926,1.566623
Bolha c/ F.,1500,3,3,1123547,1714926,1.445234
Coquetel,1500,3,3,853034,1714926,1.343122
Selecao,1500,3,3,1124250,4485,0.580210
Insercao,1500,3,3,573139,574640,0.281949
Shellsort,1500,3,3,20996,32502,0.068388
Mergesort,1500,3,3,13957,30714,0.063399
Quicksort,1500,3,3,25806,51561,0.096942
Heapsort,1500,3,3,26008,43509,0.082205
Contagem,1500,3,3,1499,3006,0.011010
Balde,1500,3,3,3057,6064,0.062587
Radixsort C.,1500,3,3,0,27000,0.103184
Radixsort B.,1500,3,3,0,27000,0.183705
Bolha,2000,1,1,1999000,0,0.949263
Bolha c/ F.,2000,1,1,1999,0,0.001132
Coquetel,2000,1,1,1999,0,0.001613
Selecao,2000,1,1,1999000,0,0.862751
Insercao,2000,1,1,1999,3998,0.001473
Shellsort,2000,1,1,15021,30042,0.011121
Mergesort,2000,1,1,10864,32816,0.019897
Quicksort,2000,1,1,43621,83855,0.098535
Heapsort,2000,1,1,38602,63900,0.082685
Contagem,2000,1,1,1999,5999,0.004458
Balde,2000,1,1,3999,9999,0.051947
Radixsort C.,2000,1,1,0,36000,0.128601
Radixsort B.,2000,1,1,0,36000,0.238178
Bolha,2000,1,2,1999000,0,1.276448
Bolha c/ F.,2000,1,2,1999,0,0.001133
Coquetel,2000,1,2,1999,0,0.001613
Selecao,2000,1,2,1999000,0,0.860506
Insercao,2000,1,2,1999,3998,0.001463
Shellsort,2000,1,2,15021,30042,0.011131
Mergesort,2000,1,2,10864,32816,0.019717
Quicksort,2000,1,2,43621,83855,0.098154
Heapsort,2000,1,2,38602,63900,0.082134
Contagem,2000,1,2,1999,5999,0.004448
Balde,2000,1,2,3999,9999,0.051207
Radixsort C.,2000,1,2,0,36000,0.132189
Radixsort B.,2000,1,2,0,36000,0.238227
Bolha,2000,1,3,1999000,0,0.945395
Bolha c/ F.,2000,1,3,1999,0,0.001143
Coquetel,2000,1,3,1999,0,0.001613
Selecao,2000,1,3,1999000,0,0.862620
Insercao,2000,1,3,1999,3998,0.001483
Shellsort,2000,1,3,15021,30042,0.011121
Mergesort,2000,1,3,10864,32816,0.019757
Quicksort,2000,1,3,43621,83855,0.098314
Heapsort,2000,1,3,38602,63900,0.082124
Contagem,2000,1,3,1999,5999,0.004448
Balde,2000,1,3,3999,9999,0.073338
Radixsort C.,2000,1,3,0,36000,0.142397
Radixsort B.,2000,1,3,0,36000,0.236564
Bolha,2000,2,1,1999000,5997000,3.367636
Bolha c/ F.,2000,2,1,1999000,5997000,3.352958
Coquetel,2000,2,1,1999000,5997000,3.344713
Selecao,2000,2,1,1999000,3000,1.039994
Insercao,2000,2,1,1999000,2002998,0.949203
Shellsort,2000,2,1,21358,37386,0.019416
Mergesort,2000,2,1,11088,43904,0.024246
Quicksort,2000,2,1,43327,87994,0.099848
Heapsort,2000,2,1,33418,56124,0.084229
Contagem,2000,2,1,1999,4000,0.004438
Balde,2000,2,1,3999,8000,0.044434
Radixsort C.,2000,2,1,0,36000,0.131567
Radixsort B.,2000,2,1,0,36000,0.235913
Bolha,2000,2,2,1999000,5997000,3.373867
Bolha c/ F.,2000,2,2,1999000,5997000,3.385399
Coquetel,2000,2,2,1999000,5997000,3.342449
Selecao,2000,2,2,1999000,3000,0.992615
Insercao,2000,2,2,1999000,2002998,0.948892
Shellsort,2000,2,2,21358,37386,0.019656
Mergesort,2000,2,2,11088,43904,0.024706
Quicksort,2000,2,2,38642,77814,0.096050
Heapsort,2000,2,2,33418,56124,0.084048
Contagem,2000,2,2,1999,4000,0.004428
Balde,2000,2,2,3999,8000,0.043531
Radixsort C.,2000,2,2,0,36000,0.130455
Radixsort B.,2000,2,2,0,36000,0.236323
Bolha,2000,2,3,1999000,5997000,3.392172
Bolha c/ F.,2000,2,3,1999000,5997000,3.363057
Coquetel,2000,2,3,1999000,5997000,3.349942
Selecao,2000,2,3,1999000,3000,0.976504
Insercao,2000,2,3,1999000,2002998,0.950175
Shellsort,2000,2,3,21358,37386,0.019517
Mergesort,2000,2,3,11088,43904,0.024296
Quicksort,2000,2,3,38642,77814,0.096451
Heapsort,2000,2,3,33418,56124,0.082725
Contagem,2000,2,3,1999,4000,0.004418
Balde,2000,2,3,3999,8000,0.044343
Radixsort C.,2000,2,3,0,36000,0.133892
Radixsort B.,2000,2,3,0,36000,0.236715
Bolha,2000,3,1,1999000,2935956,2.700022
Bolha c/ F.,2000,3,1,1996150,2935956,2.513331
Coquetel,2000,3,1,1465972,2935956,2.267469
Selecao,2000,3,1,1999000,5964,1.014906
Insercao,2000,3,1,980643,982650,0.470063
Shellsort,2000,3,1,29562,45473,0.096140
Mergesort,2000,3,1,19376,42562,0.087174
Quicksort,2000,3,1,36905,75052,0.133060
Heapsort,2000,3,1,36318,60474,0.112351
Contagem,2000,3,1,1999,4009,0.014597
Balde,2000,3,1,4088,8098,0.078567
Radixsort C.,2000,3,1,0,36000,0.133972
Radixsort B.,2000,3,1,0,36000,0.247455
Bolha,2000,3,2,1999000,2935956,2.741099
Bolha c/ F.,2000,3,2,1996150,2935956,2.521116
Coquetel,2000,3,2,1465972,2935956,2.284021
Selecao,2000,3,2,1999000,5964,1.036287
Insercao,2000,3,2,980643,982650,0.471125
Shellsort,2000,3,2,29562,45473,0.096231
Mergesort,2000,3,2,19376,42562,0.087474
Quicksort,2000,3,2,36905,75052,0.132699
Heapsort,2000,3,2,36318,60474,0.114605
Contagem,2000,3,2,1999,4009,0.014628
Balde,2000,3,2,4088,8098,0.079749
Radixsort C.,2000,3,2,0,36000,0.133902
Radixsort B.,2000,3,2,0,36000,0.241443
Bolha,2000,3,3,1999000,2935956,2.727574
Bolha c/ F.,2000,3,3,1996150,2935956,2.521346
Coquetel,2000,3,3,1465972,2935956,2.291304
Selecao,2000,3,3,1999000,5964,1.001361
Insercao,2000,3,3,980643,982650,0.467478
Shellsort,2000,3,3,29562,45473,0.099987
Mergesort,2000,3,3,19376,42562,0.087384
Quicksort,2000,3,3,36905,75052,0.132569
Heapsort,2000,3,3,36318,60474,0.111930
Contagem,2000,3,3,1999,4009,0.014627
Balde,2000,3,3,4088,8098,0.078387
Radixsort C.,2000,3,3,0,36000,0.133911
Radixsort B.,2000,3,3,0,36000,0.241784
Bolha,2500,1,1,3123750,0,1.475452
Bolha c/ F.,2500,1,1,2499,0,0.001273
Coquetel,2500,1,1,2499,0,0.001863
Selecao,2500,1,1,3123750,0,1.346008
Insercao,2500,1,1,2499,4998,0.001713
Shellsort,2500,1,1,19521,39042,0.014267
Mergesort,2500,1,1,13652,42056,0.024647
Quicksort,2500,1,1,52317,101821,0.129724
Heapsort,2500,1,1,50630,83442,0.104417
Contagem,2500,1,1,2499,7499,0.005461
Balde,2500,1,1,4999,12499,0.064401
Radixsort C.,2500,1,1,0,45000,0.160902
Radixsort B.,2500,1,1,0,45000,0.319240
Bolha,2500,1,2,3123750,0,1.478837
Bolha c/ F.,2500,1,2,2499,0,0.001282
Coquetel,2500,1,2,2499,0,0.001853
Selecao,2500,1,2,3123750,0,1.343974
Insercao,2500,1,2,2499,4998,0.001723
Shellsort,2500,1,2,19521,39042,0.014287
Mergesort,2500,1,2,13652,42056,0.025327
Quicksort,2500,1,2,52317,101821,0.128972
Heapsort,2500,1,2,50630,83442,0.104887
Contagem,2500,1,2,2499,7499,0.005470
Balde,2500,1,2,4999,12499,0.063760
Radixsort C.,2500,1,2,0,45000,0.160852
Radixsort B.,2500,1,2,0,45000,0.301246
Bolha,2500,1,3,3123750,0,1.492052
Bolha c/ F.,2500,1,3,2499,0,0.001262
Coquetel,2500,1,3,2499,0,0.002295
Selecao,2500,1,3,3123750,0,1.352350
Insercao,2500,1,3,2499,4998,0.001723
Shellsort,2500,1,3,19521,39042,0.014277
Mergesort,2500,1,3,13652,42056,0.025327
Quicksort,2500,1,3,52317,101821,0.129172
Heapsort,2500,1,3,50630,83442,0.103865
Contagem,2500,1,3,2499,7499,0.005491
Balde,2500,1,3,4999,12499,0.066685
Radixsort C.,2500,1,3,0,45000,0.160902
Radixsort B.,2500,1,3,0,45000,0.304512
Bolha,2500,2,1,3123750,9371250,5.284737
Bolha c/ F.,2500,2,1,3123750,9371250,5.287662
Coquetel,2500,2,1,3123750,9371250,5.234052
Selecao,2500,2,1,3123750,3750,1.752461
Insercao,2500,2,1,3123750,3128748,1.502963
Shellsort,2500,2,1,27096,47788,0.026750
Mergesort,2500,2,1,14752,56808,0.031519
Quicksort,2500,2,1,50149,102480,0.126257
Heapsort,2500,2,1,43462,72690,0.108945
Contagem,2500,2,1,2499,5000,0.005460
Balde,2500,2,1,4999,10000,0.054232
Radixsort C.,2500,2,1,0,45000,0.160281
Radixsort B.,2500,2,1,0,45000,0.304703
Bolha,2500,2,2,3123750,9371250,5.285789
Bolha c/ F.,2500,2,2,3123750,9371250,5.236846
Coquetel,2500,2,2,3123750,9371250,5.249070
Selecao,2500,2,2,3123750,3750,1.541766
Insercao,2500,2,2,3123750,3128748,1.481112
Shellsort,2500,2,2,27096,47788,0.026400
Mergesort,2500,2,2,14752,56808,0.031759
Quicksort,2500,2,2,50149,102480,0.126888
Heapsort,2500,2,2,43462,72690,0.108464
Contagem,2500,2,2,2499,5000,0.005420
Balde,2500,2,2,4999,10000,0.055585
Radixsort C.,2500,2,2,0,45000,0.160261
Radixsort B.,2500,2,2,0,45000,0.388700
Bolha,2500,2,3,3123750,9371250,5.278966
Bolha c/ F.,2500,2,3,3123750,9371250,5.257265
Coquetel,2500,2,3,3123750,9371250,5.249320
Selecao,2500,2,3,3123750,3750,1.488345
Insercao,2500,2,3,3123750,3128748,1.474209
Shellsort,2500,2,3,27096,47788,0.026580
Mergesort,2500,2,3,14752,56808,0.032140
Quicksort,2500,2,3,50149,102480,0.130035
Heapsort,2500,2,3,43462,72690,0.108734
Contagem,2500,2,3,2499,5000,0.005450
Balde,2500,2,3,4999,10000,0.054562
Radixsort C.,2500,2,3,0,45000,0.160251
Radixsort B.,2500,2,3,0,45000,0.303360
Bolha,2500,3,1,3123750,4621365,4.174282
Bolha c/ F.,2500,3,1,3122970,4621365,4.017196
Coquetel,2500,3,1,2346869,4621365,3.560568
Selecao,2500,3,1,3123750,7482,1.538149
Insercao,2500,3,1,1542948,1545453,0.739960
Shellsort,2500,3,1,38600,59252,0.125796
Mergesort,2500,3,1,25131,54853,0.113003
Quicksort,2500,3,1,53133,100482,0.179117
Heapsort,2500,3,1,47228,78339,0.147146
Contagem,2500,3,1,2499,5010,0.018445
Balde,2500,3,1,5096,10107,0.101651
Radixsort C.,2500,3,1,0,45000,0.167725
Radixsort B.,2500,3,1,0,45000,0.304311
Bolha,2500,3,2,3123750,4621365,4.204147
Bolha c/ F.,2500,3,2,3122970,4621365,3.886761
Coquetel,2500,3,2,2346869,4621365,3.573332
Selecao,2500,3,2,3123750,7482,1.575941
Insercao,2500,3,2,1542948,1545453,0.735712
Shellsort,2500,3,2,38600,59252,0.126288
Mergesort,2500,3,2,25131,54853,0.112662
Quicksort,2500,3,2,53133,100482,0.196750
Heapsort,2500,3,2,47228,78339,0.146585
Contagem,2500,3,2,2499,5010,0.018425
Balde,2500,3,2,5096,10107,0.098315
Radixsort C.,2500,3,2,0,45000,0.172464
Radixsort B.,2500,3,2,0,45000,0.308710
Bolha,2500,3,3,3123750,4621365,4.152861
Bolha c/ F.,2500,3,3,3122970,4621365,3.875059
Coquetel,2500,3,3,2346869,4621365,3.613167
Selecao,2500,3,3,3123750,7482,1.569007
Insercao,2500,3,3,1542948,1545453,0.734400
Shellsort,2500,3,3,38600,59252,0.126928
Mergesort,2500,3,3,25131,54853,0.112171
Quicksort,2500,3,3,53133,100482,0.179206
Heapsort,2500,3,3,47228,78339,0.146635
Contagem,2500,3,3,2499,5010,0.017853
Balde,2500,3,3,5096,10107,0.098575
Radixsort C.,2500,3,3,0,45000,0.167715
Radixsort B.,2500,3,3,0,45000,0.307338
Bolha,3000,1,1,4498500,0,2.138708
Bolha c/ F.,3000,1,1,2999,0,0.001413
Coquetel,3000,1,1,2999,0,0.002144
Selecao,3000,1,1,4498500,0,1.935706
Insercao,3000,1,1,2999,5998,0.001933
Shellsort,3000,1,1,24021,48042,0.017423
Mergesort,3000,1,1,16828,51732,0.031379
Quicksort,3000,1,1,67393,133127,0.162154
Heapsort,3000,1,1,62506,102756,0.127420
Contagem,3000,1,1,2999,8999,0.006282
Balde,3000,1,1,5999,14999,0.079850
Radixsort C.,3000,1,1,0,54000,0.193323
Radixsort B.,3000,1,1,0,54000,0.366999
Bolha,3000,1,2,4498500,0,2.136242
Bolha c/ F.,3000,1,2,2999,0,0.001403
Coquetel,3000,1,2,2999,0,0.002124
Selecao,3000,1,2,4498500,0,1.929114
Insercao,3000,1,2,2999,5998,0.001944
Shellsort,3000,1,2,24021,48042,0.017413
Mergesort,3000,1,2,16828,51732,0.030477
Quicksort,3000,1,2,67393,133127,0.165070
Heapsort,3000,1,2,62506,102756,0.131297
Contagem,3000,1,2,2999,8999,0.006291
Balde,3000,1,2,5999,14999,0.076373
Radixsort C.,3000,1,2,0,54000,0.196960
Radixsort B.,3000,1,2,0,54000,0.360767
Bolha,3000,1,3,4498500,0,2.137696
Bolha c/ F.,3000,1,3,2999,0,0.001403
Coquetel,3000,1,3,2999,0,0.002104
Selecao,3000,1,3,4498500,0,1.929835
Insercao,3000,1,3,2999,5998,0.001933
Shellsort,3000,1,3,24021,48042,0.017423
Mergesort,3000,1,3,16828,51732,0.030106
Quicksort,3000,1,3,67393,133127,0.162575
Heapsort,3000,1,3,62506,102756,0.132840
Contagem,3000,1,3,2999,8999,0.006292
Balde,3000,1,3,5999,14999,0.076523
Radixsort C.,3000,1,3,0,54000,0.193353
Radixsort B.,3000,1,3,0,54000,0.361640
Bolha,3000,2,1,4498500,13495500,7.582473
Bolha c/ F.,3000,2,1,4498500,13495500,7.530946
Coquetel,3000,2,1,4498500,13495500,7.532128
Selecao,3000,2,1,4498500,4500,2.245418
Insercao,3000,2,1,4498500,4504498,2.125052
Shellsort,3000,2,1,33819,60096,0.032080
Mergesort,3000,2,1,18076,69808,0.038893
Quicksort,3000,2,1,72048,140756,0.155903
Heapsort,3000,2,1,53502,89250,0.134823
Contagem,3000,2,1,2999,6000,0.006312
Balde,3000,2,1,5999,12000,0.068559
Radixsort C.,3000,2,1,0,54000,0.192682
Radixsort B.,3000,2,1,0,54000,0.361800
Bolha,3000,2,2,4498500,13495500,7.594916
Bolha c/ F.,3000,2,2,4498500,13495500,7.550172
Coquetel,3000,2,2,4498500,13495500,7.528010
Selecao,3000,2,2,4498500,4500,2.165457
Insercao,3000,2,2,4498500,4504498,2.124210
Shellsort,3000,2,2,33819,60096,0.032201
Mergesort,3000,2,2,18076,69808,0.038702
Quicksort,3000,2,2,72048,140756,0.150973
Heapsort,3000,2,2,53502,89250,0.133821
Contagem,3000,2,2,2999,6000,0.006311
Balde,3000,2,2,5999,12000,0.066024
Radixsort C.,3000,2,2,0,54000,0.192692
Radixsort B.,3000,2,2,0,54000,0.364765
Bolha,3000,2,3,4498500,13495500,7.606328
Bolha c/ F.,3000,2,3,4498500,13495500,7.552997
Coquetel,3000,2,3,4498500,13495500,7.534142
Selecao,3000,2,3,4498500,4500,2.261498
Insercao,3000,2,3,4498500,4504498,2.121074
Shellsort,3000,2,3,33819,60096,0.031459
Mergesort,3000,2,3,18076,69808,0.038261
Quicksort,3000,2,3,72048,140756,0.151996
Heapsort,3000,2,3,53502,89250,0.130796
Contagem,3000,2,3,2999,6000,0.006753
Balde,3000,2,3,5999,12000,0.069190
Radixsort C.,3000,2,3,0,54000,0.192652
Radixsort B.,3000,2,3,0,54000,0.370065
Bolha,3000,3,1,4498500,6736902,6.031529
Bolha c/ F.,3000,3,1,4492395,6736902,5.669800
Coquetel,3000,3,1,3431970,6736902,5.291079
Selecao,3000,3,1,4498500,8964,2.200474
Insercao,3000,3,1,2248630,2251632,1.065531
Shellsort,3000,3,1,47350,72805,0.155843
Mergesort,3000,3,1,30877,67510,0.138079
Quicksort,3000,3,1,60501,122982,0.208842
Heapsort,3000,3,1,57982,95970,0.176090
Contagem,3000,3,1,2999,6010,0.021330
Balde,3000,3,1,6128,12139,0.123933
Radixsort C.,3000,3,1,0,54000,0.201819
Radixsort B.,3000,3,1,0,54000,0.373211
Bolha,3000,3,2,4498500,6736902,6.072156
Bolha c/ F.,3000,3,2,4492395,6736902,5.628984
Coquetel,3000,3,2,3431970,6736902,5.244932
Selecao,3000,3,2,4498500,8964,2.208087
Insercao,3000,3,2,2248630,2251632,1.067025
Shellsort,3000,3,2,47350,72805,0.153789
Mergesort,3000,3,2,30877,67510,0.137788
Quicksort,3000,3,2,60501,122982,0.208522
Heapsort,3000,3,2,57982,95970,0.176201
Contagem,3000,3,2,2999,6010,0.021421
Balde,3000,3,2,6128,12139,0.117601
Radixsort C.,3000,3,2,0,54000,0.205406
Radixsort B.,3000,3,2,0,54000,0.382619
Bolha,3000,3,3,4498500,6736902,6.074942
