algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo_ms
Bolha,1000,1,1,499500,0,0.351500
Bolha c/ F.,1000,1,1,999,0,0.001212
Coquetel,1000,1,1,999,0,0.001533
Selecao,1000,1,1,499500,0,0.270238
Insercao,1000,1,1,999,1998,0.001002
Shellsort,1000,1,1,6771,13542,0.005360
Mergesort,1000,1,1,4932,14908,0.010670
Quicksort,1000,1,1,17909,35698,0.047590
Heapsort,1000,1,1,17418,29124,0.039334
Contagem,1000,1,1,999,2999,0.002585
Balde,1000,1,1,1999,4999,0.026991
Radixsort C.,1000,1,1,0,18000,0.064180
Radixsort B.,1000,1,1,0,18000,0.144862
Bolha,1000,1,2,499500,0,0.242115
Bolha c/ F.,1000,1,2,999,0,0.000852
Coquetel,1000,1,2,999,0,0.001062
Selecao,1000,1,2,499500,0,0.249729
Insercao,1000,1,2,999,1998,0.001012
Shellsort,1000,1,2,6771,13542,0.005341
Mergesort,1000,1,2,4932,14908,0.009988
Quicksort,1000,1,2,17909,35698,0.047480
Heapsort,1000,1,2,17418,29124,0.039514
Contagem,1000,1,2,999,2999,0.002575
Balde,1000,1,2,1999,4999,0.025918
Radixsort C.,1000,1,2,0,18000,0.064261
Radixsort B.,1000,1,2,0,18000,0.115958
Bolha,1000,1,3,499500,0,0.244019
Bolha c/ F.,1000,1,3,999,0,0.000852
Coquetel,1000,1,3,999,0,0.001082
Selecao,1000,1,3,499500,0,0.229391
Insercao,1000,1,3,999,1998,0.001002
Shellsort,1000,1,3,6771,13542,0.005360
Mergesort,1000,1,3,4932,14908,0.010179
Quicksort,1000,1,3,17909,35698,0.047639
Heapsort,1000,1,3,17418,29124,0.040005
Contagem,1000,1,3,999,2999,0.002575
Balde,1000,1,3,1999,4999,0.025969
Radixsort C.,1000,1,3,0,18000,0.063930
Radixsort B.,1000,1,3,0,18000,0.116078
Bolha,1000,2,1,499500,1498500,0.720013
Bolha c/ F.,1000,2,1,499500,1498500,0.716717
Coquetel,1000,2,1,499500,1498500,0.829458
Selecao,1000,2,1,499500,1500,0.302829
Insercao,1000,2,1,499500,501498,0.259938
Shellsort,1000,2,1,9354,16632,0.010881
Mergesort,1000,2,1,5044,19952,0.012674
Quicksort,1000,2,1,17349,34457,0.047760
Heapsort,1000,2,1,14634,24948,0.039013
Contagem,1000,2,1,999,2000,0.002575
Balde,1000,2,1,1999,4000,0.021581
Radixsort C.,1000,2,1,0,18000,0.063970
Radixsort B.,1000,2,1,0,18000,0.115948
Bolha,1000,2,2,499500,1498500,0.723489
Bolha c/ F.,1000,2,2,499500,1498500,0.713280
Coquetel,1000,2,2,499500,1498500,0.847071
Selecao,1000,2,2,499500,1500,0.279335
Insercao,1000,2,2,499500,501498,0.238538
Shellsort,1000,2,2,9354,16632,0.011051
Mergesort,1000,2,2,5044,19952,0.012654
Quicksort,1000,2,2,17349,34457,0.048041
Heapsort,1000,2,2,14634,24948,0.039103
Contagem,1000,2,2,999,2000,0.002595
Balde,1000,2,2,1999,4000,0.021881
Radixsort C.,1000,2,2,0,18000,0.063930
Radixsort B.,1000,2,2,0,18000,0.115938
Bolha,1000,2,3,499500,1498500,0.843935
Bolha c/ F.,1000,2,3,499500,1498500,0.757663
Coquetel,1000,2,3,499500,1498500,0.842462
Selecao,1000,2,3,499500,1500,0.247575
Insercao,1000,2,3,499500,501498,0.238538
Shellsort,1000,2,3,9354,16632,0.011021
Mergesort,1000,2,3,5044,19952,0.013385
Quicksort,1000,2,3,17349,34457,0.047729
Heapsort,1000,2,3,14634,24948,0.039264
Contagem,1000,2,3,999,2000,0.002575
Balde,1000,2,3,1999,4000,0.022322
Radixsort C.,1000,2,3,0,18000,0.063970
Radixsort B.,1000,2,3,0,18000,0.117100
Bolha,1000,3,1,499500,752628,0.705575
Bolha c/ F.,1000,3,1,498680,752628,0.654840
Coquetel,1000,3,1,393009,752628,0.635835
Selecao,1000,3,1,499500,2985,0.279464
Insercao,1000,3,1,251868,252874,0.125776
Shellsort,1000,3,1,13118,20361,0.047269
Mergesort,1000,3,1,8712,19306,0.041408
Quicksort,1000,3,1,17040,33613,0.063539
Heapsort,1000,3,1,16160,27237,0.052959
Contagem,1000,3,1,999,2004,0.007444
Balde,1000,3,1,2041,4046,0.039624
Radixsort C.,1000,3,1,0,18000,0.066826
Radixsort B.,1000,3,1,0,18000,0.116820
Bolha,1000,3,2,499500,752628,0.723479
Bolha c/ F.,1000,3,2,498680,752628,0.664108
Coquetel,1000,3,2,393009,752628,0.612491
Selecao,1000,3,2,499500,2985,0.276699
Insercao,1000,3,2,251868,252874,0.123161
Shellsort,1000,3,2,13118,20361,0.043261
Mergesort,1000,3,2,8712,19306,0.041287
Quicksort,1000,3,2,17040,33613,0.063318
Heapsort,1000,3,2,16160,27237,0.055504
Contagem,1000,3,2,999,2004,0.007404
Balde,1000,3,2,2041,4046,0.039765
Radixsort C.,1000,3,2,0,18000,0.066826
Radixsort B.,1000,3,2,0,18000,0.116930
Bolha,1000,3,3,499500,752628,0.707319
Bolha c/ F.,1000,3,3,498680,752628,0.654639
Coquetel,1000,3,3,393009,752628,0.611999
Selecao,1000,3,3,499500,2985,0.274576
Insercao,1000,3,3,251868,252874,0.123162
Shellsort,1000,3,3,13118,20361,0.043883
Mergesort,1000,3,3,8712,19306,0.043933
Quicksort,1000,3,3,17040,33613,0.063619
Heapsort,1000,3,3,16160,27237,0.052078
Contagem,1000,3,3,999,2004,0.007344
Balde,1000,3,3,2041,4046,0.039825
Radixsort C.,1000,3,3,0,18000,0.066856
Radixsort B.,1000,3,3,0,18000,0.116759
Bolha,1500,1,1,1124250,0,0.868632
Bolha c/ F.,1500,1,1,1499,0,0.001422
Coquetel,1500,1,1,1499,0,0.001884
Selecao,1500,1,1,1124250,0,0.511060
Insercao,1500,1,1,1499,2998,0.001372
Shellsort,1500,1,1,10771,21542,0.008245
Mergesort,1500,1,1,7664,23616,0.015299
Quicksort,1500,1,1,26985,54786,0.076634
Heapsort,1500,1,1,28098,46644,0.061054
Contagem,1500,1,1,1499,4499,0.003497
Balde,1500,1,1,2999,7499,0.038562
Radixsort C.,1500,1,1,0,27000,0.095900
Radixsort B.,1500,1,1,0,27000,0.177544
Bolha,1500,1,2,1124250,0,0.855708
Bolha c/ F.,1500,1,2,1499,0,0.001002
Coquetel,1500,1,2,1499,0,0.001352
Selecao,1500,1,2,1124250,0,0.513013
Insercao,1500,1,2,1499,2998,0.001242
Shellsort,1500,1,2,10771,21542,0.008155
Mergesort,1500,1,2,7664,23616,0.015600
Quicksort,1500,1,2,26985,54786,0.075592
Heapsort,1500,1,2,28098,46644,0.061295
Contagem,1500,1,2,1499,4499,0.003507
Balde,1500,1,2,2999,7499,0.040477
Radixsort C.,1500,1,2,0,27000,0.095910
Radixsort B.,1500,1,2,0,27000,0.187402
Bolha,1500,1,3,1124250,0,0.535586
Bolha c/ F.,1500,1,3,1499,0,0.001002
Coquetel,1500,1,3,1499,0,0.001353
Selecao,1500,1,3,1124250,0,0.492035
Insercao,1500,1,3,1499,2998,0.001242
Shellsort,1500,1,3,10771,21542,0.008156
Mergesort,1500,1,3,7664,23616,0.015068
Quicksort,1500,1,3,26985,54786,0.079118
Heapsort,1500,1,3,28098,46644,0.061015
Contagem,1500,1,3,1499,4499,0.003496
Balde,1500,1,3,2999,7499,0.038642
Radixsort C.,1500,1,3,0,27000,0.101110
Radixsort B.,1500,1,3,0,27000,0.177243
Bolha,1500,2,1,1124250,3372750,1.898015
Bolha c/ F.,1500,2,1,1124250,3372750,1.888407
