algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Balde,10000,2,3,20430,40441,0.000407
Radixsort C.,10000,2,3,0,180000,0.000699
Radixsort B.,10000,2,3,0,180000,0.001323
Bolha,15000,0,1,14999,0,4e-06
Coquetel,15000,0,1,14999,0,8e-06
Seleção,15000,0,1,112492500,0,0.049255
Inserção,15000,0,1,14999,29998,1.1e-05
Shellsort,15000,0,1,149222,298444,0.000139
Mergesort,15000,0,1,102252,310868,0.000139
Heapsort,15000,0,1,381290,616932,0.000725
Quicksort,15000,0,1,167045,35113,7.8e-05
Introsort,15000,0,1,167045,35113,7.8e-05
Contagem,15000,0,1,14999,44999,2.6e-05
Balde,15000,0,1,29999,74999,0.000384
Radixsort C.,15000,0,1,0,270000,0.001002
Radixsort B.,15000,0,1,0,270000,0.002165
Bolha,15000,0,2,14999,0,4e-06
Coquetel,15000,0,2,14999,0,8e-06
Seleção,15000,0,2,112492500,0,0.047576
Inserção,15000,0,2,14999,29998,1.1e-05
Shellsort,15000,0,2,149222,298444,0.000139
Mergesort,15000,0,2,102252,310868,0.000139
Heapsort,15000,0,2,381290,616932,0.000749
Quicksort,15000,0,2,167045,35113,7.7e-05
Introsort,15000,0,2,167045,35113,7.9e-05
Contagem,15000,0,2,14999,44999,2.6e-05
Balde,15000,0,2,29999,74999,0.000383
Radixsort C.,15000,0,2,0,270000,0.001002
Radixsort B.,15000,0,2,0,270000,0.002085
Bolha,15000,0,3,14999,0,4e-06
Coquetel,15000,0,3,14999,0,8e-06
Seleção,15000,0,3,112492500,0,0.047544
Inserção,15000,0,3,14999,29998,1.1e-05
Shellsort,15000,0,3,149222,298444,0.000139
Mergesort,15000,0,3,102252,310868,0.000137
Heapsort,15000,0,3,381290,616932,0.000745
Quicksort,15000,0,3,167045,35113,7.8e-05
Introsort,15000,0,3,167045,35113,7.8e-05
Contagem,15000,0,3,14999,44999,2.6e-05
Balde,15000,0,3,29999,74999,0.000386
Radixsort C.,15000,0,3,0,270000,0.000999
Radixsort B.,15000,0,3,0,270000,0.002115
Bolha,15000,1,1,112492500,337477500,0.190366
Coquetel,15000,1,1,112492500,337477500,0.188173
Seleção,15000,1,1,112492500,22500,0.046538
Inserção,15000,1,1,112492500,112522498,0.041624
Shellsort,15000,1,1,205101,363596,0.000196
Mergesort,15000,1,1,106364,417232,0.000243
Heapsort,15000,1,1,338366,552546,0.00074
Quicksort,15000,1,1,262802,63873,0.000139
Introsort,15000,1,1,351414,68223,0.000192
Contagem,15000,1,1,14999,30000,2.6e-05
Balde,15000,1,1,29999,60000,0.000463
Radixsort C.,15000,1,1,0,270000,0.000998
Radixsort B.,15000,1,1,0,270000,0.002125
Bolha,15000,1,2,112492500,337477500,0.190487
Coquetel,15000,1,2,112492500,337477500,0.188212
Seleção,15000,1,2,112492500,22500,0.046439
Inserção,15000,1,2,112492500,112522498,0.041603
Shellsort,15000,1,2,205101,363596,0.000193
Mergesort,15000,1,2,106364,417232,0.00024
Heapsort,15000,1,2,338366,552546,0.000742
Quicksort,15000,1,2,262802,63873,0.000137
